numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
46,0,77,11,0,13,56,53,53,16,23,0,23,3,40
28,0,90,12,0,12,53,53,52,22,17,0,17,1,53
29,0,88,12,0,9,51,51,46,26,17,0,17,2,47
32,0,86,10,0,9,54,54,43,27,18,0,18,0,44
31,0,89,10,0,9,55,55,54,28,19,0,19,3,51
19,0,92,13,0,23,60,59,58,26,10,0,10,1,59
26,0,87,14,0,6,60,60,37,32,13,0,13,3,38
20,0,90,10,0,6,68,68,29,38,10,0,10,3,68
28,0,86,13,0,5,61,61,36,37,14,0,14,2,35
26,0,87,15,0,10,56,56,41,37,13,0,13,3,38
35,0,89,8,0,13,52,52,51,35,24,0,24,2,52
24,0,88,14,0,14,59,59,38,38,12,0,12,2,59
16,29,63,27,0,1,60,60,37,46,8,29,8,2,60
58,21,45,19,0,0,54,54,43,32,33,21,33,1,54
24,7,79,17,0,5,68,68,29,42,14,6,14,4,17
22,0,91,10,0,10,61,61,36,44,13,0,13,2,25
16,36,56,37,0,11,54,54,53,25,7,36,7,1,54
49,10,59,12,0,0,67,67,30,29,31,9,31,4,31
12,8,86,11,0,7,71,71,26,48,6,7,6,2,71
41,2,77,19,0,7,51,51,46,40,21,2,21,1,47
35,0,83,20,0,9,50,50,47,25,17,0,17,0,48
20,0,90,13,0,7,64,64,33,29,9,0,9,3,31
33,0,83,11,0,6,62,62,35,29,17,0,17,2,36
37,0,94,5,0,19,54,54,53,32,30,0,30,2,47
23,0,88,13,0,11,64,64,33,42,12,0,12,0,34
19,25,66,29,0,7,53,53,44,46,9,25,9,0,45
15,36,56,34,0,0,56,56,41,49,8,35,8,1,56
59,8,70,2,0,0,54,54,43,39,36,8,36,0,44
31,2,91,6,0,5,63,63,34,52,23,2,23,27,35
42,0,79,21,0,2,55,55,42,54,21,0,21,2,55
20,27,63,27,0,5,57,57,40,51,10,27,10,1,39
0,6,94,7,0,15,77,77,20,42,0,5,0,1,16
41,0,79,15,0,9,53,53,44,28,20,0,20,2,53
48,1,86,13,0,16,64,64,63,26,35,1,35,2,45
27,5,81,10,0,9,64,64,33,56,14,4,14,2,26
35,0,84,12,0,11,54,54,43,33,18,0,18,1,43
33,6,82,11,0,7,50,50,47,33,21,6,21,2,44
20,33,57,30,0,0,56,56,41,35,10,32,10,2,56
68,10,52,2,0,0,59,59,38,40,38,9,38,3,34
20,0,88,11,0,6,71,71,26,36,11,0,11,2,71
40,0,88,8,0,13,62,62,61,25,28,0,28,7,31
38,0,86,8,0,11,50,50,47,43,24,0,24,3,39
37,0,92,8,0,12,58,58,57,32,29,0,29,3,58
36,4,80,11,0,6,56,56,41,34,20,4,20,0,42
34,5,83,9,0,4,52,52,45,26,22,5,22,4,22
16,0,94,6,0,5,71,71,26,31,10,0,10,0,27
29,18,70,18,0,3,51,51,46,24,17,18,17,3,51
0,68,32,32,0,0,67,67,66,18,0,67,0,0,67
25,17,67,15,0,1,69,69,28,33,16,16,16,2,69
34,0,88,9,0,12,51,51,46,32,21,0,21,0,47
47,0,80,14,0,9,51,51,50,33,27,0,27,1,51
33,2,87,9,0,5,62,62,35,44,21,2,21,1,36
17,2,89,8,0,2,70,70,27,50,9,2,9,2,70
28,1,85,11,0,6,63,63,34,27,14,1,14,0,35
29,1,88,10,0,5,62,62,35,31,18,0,18,1,31
26,11,76,17,0,2,63,63,34,31,13,11,13,1,35
0,45,55,48,0,3,51,51,50,28,0,44,0,0,51
0,35,65,48,0,5,51,51,50,30,0,35,0,1,51
40,18,82,17,0,9,67,66,65,26,40,17,40,15,66
22,12,77,18,0,3,65,65,32,53,11,11,11,2,65
12,8,86,8,0,8,73,73,24,55,6,8,6,2,25
27,3,83,11,0,9,64,64,33,45,14,3,14,2,64
25,16,72,14,0,7,57,57,40,44,12,16,12,2,57
16,33,59,33,0,4,51,51,46,42,8,33,8,2,47
18,0,91,8,0,6,40,75,22,32,9,0,9,0,34
26,0,87,13,0,6,65,65,32,7,12,0,12,1,65
28,0,86,13,0,7,64,64,33,8,14,0,14,2,34
25,2,88,11,0,10,47,51,46,16,15,2,13,8,28
41,4,78,13,0,9,49,49,48,25,23,3,22,2,37
23,6,84,14,0,6,50,58,39,30,13,6,13,3,24
32,9,77,13,0,6,46,52,45,27,18,9,17,2,50
30,7,82,11,0,4,49,55,42,29,19,7,18,18,34
53,10,84,1,0,7,92,92,91,5,46,10,46,0,92
50,12,88,1,0,6,98,98,97,1,50,12,50,0,98
44,7,77,12,0,4,46,52,45,29,27,7,24,0,36
36,30,56,9,0,0,51,48,50,30,21,30,18,7,37
24,55,43,19,0,0,76,76,75,14,22,54,22,3,67
0,31,69,26,0,13,65,61,64,16,0,30,0,5,23
14,35,59,21,0,5,62,55,61,15,8,34,6,1,55
17,29,66,11,0,8,61,61,60,15,12,28,12,9,40
16,21,74,20,0,6,56,42,55,10,10,21,6,4,31
28,4,82,15,0,5,65,65,32,10,14,3,14,1,65
36,0,82,9,0,6,66,66,31,11,18,0,18,1,66
23,10,78,18,0,5,64,64,33,13,12,10,12,1,64
32,5,79,13,0,8,62,62,35,14,16,5,16,3,39
24,12,76,19,0,3,66,66,31,14,12,12,12,1,66
8,8,88,27,0,10,57,57,40,15,4,8,4,3,41
29,9,80,18,0,5,57,57,40,13,18,8,11,0,34
43,4,83,10,0,4,44,54,43,16,29,4,22,1,25
44,3,92,5,0,9,62,60,61,20,38,3,37,9,29
31,7,82,12,0,7,49,49,48,15,19,7,17,1,41
40,1,90,6,0,6,54,49,53,16,30,1,28,14,19
32,0,89,11,0,6,49,56,41,24,21,0,17,4,19
35,0,93,7,0,9,58,49,57,16,27,0,27,0,49
34,4,85,9,0,4,42,56,41,15,23,4,23,6,16
52,4,77,2,0,0,50,62,35,19,32,4,30,0,32
29,35,58,16,0,0,57,50,56,12,21,35,17,1,50
10,26,70,5,0,11,65,62,64,8,5,26,4,21,21
33,4,85,19,0,13,59,53,58,18,21,4,20,4,39
2,42,57,39,0,6,57,55,56,22,1,42,1,3,49
6,66,31,23,0,1,71,64,70,16,3,65,3,1,64
6,64,33,29,0,0,66,61,65,16,3,63,3,3,58
14,31,62,14,0,2,45,55,42,13,7,30,7,4,20
32,5,79,12,0,4,67,67,30,14,15,5,15,2,67
22,16,73,22,0,3,64,64,33,17,10,16,10,1,64
24,11,77,20,0,5,61,61,36,15,12,10,12,2,37
18,10,81,23,0,6,61,61,36,17,9,10,9,2,61
18,6,85,21,0,8,61,61,36,15,9,6,9,0,37
26,7,79,15,0,4,66,66,31,16,14,6,14,1,66
28,3,83,15,0,6,64,64,33,14,13,3,13,1,64
24,2,88,15,0,6,65,65,32,12,14,2,10,5,56
39,2,90,3,0,2,39,62,35,22,31,2,22,7,23
29,0,94,4,0,4,46,52,45,21,22,0,22,8,38
41,2,87,10,0,7,58,50,57,12,29,2,26,3,47
29,9,78,12,0,4,52,61,36,22,15,9,14,4,15
42,9,88,6,0,6,68,66,67,12,39,8,38,8,52
36,6,82,5,0,4,57,57,40,28,23,6,23,5,26
51,6,77,7,0,1,48,50,47,17,34,6,26,3,24
50,4,85,2,0,1,45,53,44,21,38,4,36,1,40
30,27,65,9,0,2,52,49,51,22,22,26,20,0,49
26,34,53,16,0,2,53,45,52,18,13,33,13,3,45
19,18,77,19,0,11,65,59,64,10,14,17,12,0,59
16,1,93,14,0,17,61,51,60,11,9,1,5,1,51
22,8,81,19,0,6,63,63,34,16,10,8,10,2,63
28,6,80,18,0,5,63,63,34,16,14,6,14,1,63
28,10,76,13,0,2,69,69,28,18,14,9,14,3,29
16,8,84,23,0,8,61,61,36,16,8,7,8,1,61
16,12,80,25,0,8,57,57,40,16,8,11,8,3,40
22,10,79,20,0,5,63,63,34,18,11,10,11,1,63
26,8,79,20,0,6,60,60,37,18,12,8,12,1,60
20,3,87,17,0,7,65,65,32,15,10,3,10,1,65
30,4,88,17,0,4,52,57,40,15,22,3,13,1,23
18,11,86,20,0,13,48,50,47,35,15,11,12,1,44
26,3,89,13,0,9,50,59,38,35,18,2,17,0,26
37,5,80,10,0,7,49,57,40,41,22,5,19,0,29
22,3,86,11,0,2,49,68,29,38,11,3,11,2,68
24,23,65,15,0,0,58,60,37,41,12,23,12,1,60
17,11,80,22,0,6,46,58,39,41,8,11,9,2,58
16,10,81,20,0,11,41,57,40,37,7,10,9,1,32
32,5,79,6,0,8,44,58,39,36,16,5,16,1,58
8,40,56,28,0,1,49,49,48,30,4,39,3,1,44
28,17,80,26,0,3,60,54,59,22,25,17,22,0,54
2,42,58,4,0,5,68,62,67,10,2,41,2,7,62
30,5,80,14,0,4,67,67,30,15,15,5,15,1,67
26,9,78,18,0,5,62,62,35,17,13,9,13,1,36
32,6,78,12,0,4,67,67,30,16,16,6,16,1,67
26,9,78,19,0,6,62,62,35,17,13,9,13,1,62
26,5,82,15,0,7,63,63,34,16,13,5,13,2,33
28,8,78,16,0,4,65,65,32,17,14,7,14,1,65
26,10,77,18,0,4,64,64,33,17,13,10,13,1,64
26,10,77,18,0,4,64,64,33,16,12,10,12,1,64
7,29,68,31,0,5,41,57,40,25,4,28,3,2,31
11,44,51,17,0,7,59,49,58,25,6,43,5,2,30
2,48,51,14,0,1,53,52,52,27,1,47,1,4,45
0,43,57,12,0,4,58,51,57,23,0,42,0,5,51
12,16,78,10,0,4,42,63,34,29,6,16,6,0,28
26,9,80,8,0,4,55,55,42,29,14,9,14,1,43
48,5,80,4,0,4,53,45,52,18,32,5,27,8,43
56,4,75,4,0,0,38,60,37,29,34,4,32,5,32
33,15,78,17,0,3,51,48,50,30,25,15,25,0,48
2,51,48,11,0,0,51,51,50,31,1,50,1,5,13
9,36,61,12,0,2,51,47,50,35,6,35,6,4,29
19,30,63,23,0,10,61,61,60,24,12,29,12,0,61
3,20,80,22,0,17,77,77,76,16,3,19,3,2,75
12,11,83,26,0,17,67,44,66,10,6,11,6,0,44
18,7,84,18,0,4,58,62,35,21,9,7,9,0,24
24,5,82,12,0,7,66,66,31,20,13,4,13,2,32
20,8,82,24,0,8,57,57,40,17,10,8,10,1,41
30,7,78,15,0,4,65,65,32,22,15,7,15,1,65
18,7,84,19,0,6,65,65,32,20,8,7,8,1,65
28,6,80,16,0,4,65,65,32,20,14,5,14,1,65
19,6,84,20,0,8,61,61,36,17,10,5,10,3,37
26,6,81,17,0,5,65,65,32,19,13,6,13,1,65
26,5,82,16,0,6,64,64,33,16,13,4,13,1,34
17,30,64,36,0,3,49,49,48,23,11,30,10,1,46
19,26,73,33,0,4,58,49,57,26,18,25,18,1,49
32,25,65,15,0,3,56,46,55,16,22,24,16,0,46
28,49,47,0,0,2,83,83,82,10,24,48,24,0,83
30,22,70,7,0,3,57,43,56,11,22,21,16,1,43
35,3,81,6,0,4,35,64,33,15,19,3,16,9,64
51,6,80,7,0,3,48,50,47,30,36,6,34,0,39
48,5,75,7,0,0,51,63,34,38,27,5,25,2,28
37,25,71,17,0,3,65,60,64,16,32,25,32,3,50
0,56,44,12,0,0,56,55,55,13,0,56,0,0,55
0,64,36,13,0,0,63,63,62,13,0,63,0,5,58
25,33,57,13,0,11,75,75,74,12,15,32,15,0,75
5,32,68,28,0,13,71,68,70,16,5,32,5,0,68
8,25,71,34,0,10,55,43,54,22,4,25,4,1,43
14,23,71,16,0,6,55,43,54,14,8,23,6,1,29
27,11,75,20,0,6,59,59,38,23,14,11,14,0,39
15,5,88,18,0,5,68,68,29,21,7,5,7,1,30
29,7,78,15,0,4,65,65,32,18,15,7,15,1,65
26,16,70,29,0,6,52,52,45,26,14,15,14,2,52
12,11,83,19,0,5,69,69,28,24,6,11,6,2,29
22,11,77,20,0,4,64,64,33,19,12,11,12,1,64
21,10,79,22,0,6,61,61,36,19,11,10,11,1,61
34,6,78,12,0,3,66,66,31,16,17,6,16,14,30
42,16,72,7,0,1,48,50,47,19,29,16,23,1,37
14,13,83,20,0,7,42,56,41,19,10,12,6,5,21
26,9,82,3,0,5,45,59,38,17,17,9,17,1,37
58,2,82,4,0,1,46,52,45,26,41,2,39,3,36
70,1,83,1,0,0,54,53,53,25,53,1,53,3,43
51,2,78,4,0,1,52,63,34,30,31,2,28,2,29
24,34,60,13,0,0,51,47,50,14,18,33,14,6,14
17,49,44,16,0,0,59,56,58,11,10,48,8,5,46
27,48,44,7,0,3,73,62,72,11,19,47,15,0,62
5,5,94,27,0,18,56,51,55,15,4,5,4,1,51
11,1,94,19,0,20,71,71,70,15,6,1,6,0,71
23,5,89,7,0,10,51,51,50,21,16,5,16,2,51
31,19,67,4,0,1,58,59,38,24,17,18,17,2,37
42,5,77,8,0,1,53,67,30,26,23,5,19,2,17
28,9,77,15,0,3,66,66,31,19,14,9,14,4,32
33,7,76,16,0,5,62,62,35,22,17,7,17,2,62
23,8,81,18,0,7,62,62,35,31,11,8,11,2,62
28,10,73,18,0,2,62,62,35,31,17,10,17,2,62
22,10,79,18,0,5,66,66,31,26,11,9,11,2,66
22,7,82,17,0,5,65,65,32,21,11,7,11,0,33
28,7,79,21,0,6,58,58,39,20,14,7,14,1,58
26,11,76,16,0,4,66,66,31,29,13,10,13,2,66
22,5,84,16,0,4,68,68,29,20,10,5,10,1,68
51,0,84,0,0,0,57,64,33,24,34,0,32,0,32
60,2,84,2,0,0,47,51,46,17,45,2,45,0,45
55,11,77,11,0,1,56,45,55,13,42,11,40,0,45
14,43,54,17,0,2,59,51,58,12,10,43,8,0,51
8,57,41,17,0,1,65,60,64,10,6,56,4,0,60
17,45,51,12,0,0,57,57,56,17,13,44,13,6,34
13,21,74,24,0,8,51,47,50,23,7,21,7,4,22
36,17,69,8,0,11,70,49,69,10,22,17,14,3,49
30,5,85,4,0,1,44,71,26,15,19,5,14,0,16
30,4,86,18,0,10,49,49,48,15,20,3,16,7,49
4,0,99,27,0,24,71,68,70,15,3,0,3,3,65
11,1,93,18,0,21,71,53,70,10,6,1,6,2,53
21,5,85,17,0,4,68,68,29,23,10,5,10,1,30
24,6,82,15,0,6,66,66,31,17,12,5,12,3,32
43,6,72,22,0,12,55,55,54,33,21,6,21,1,55
23,6,83,15,0,5,67,67,30,36,11,6,11,4,28
8,7,89,13,0,3,79,79,18,30,4,7,4,1,79
