numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
2,0,99,36,0,2,46,52,45,2,1,0,1,1,38
5,0,97,38,0,0,44,54,29,6,3,0,2,1,54
3,0,99,39,0,2,43,55,28,6,1,0,1,1,40
0,0,100,26,0,0,46,65,45,3,0,0,0,1,65
6,0,97,33,0,0,48,50,15,8,3,0,3,7,20
0,0,100,7,0,0,64,65,63,2,0,0,0,0,65
5,0,97,17,0,0,46,52,45,6,3,0,2,1,48
5,0,97,23,0,6,44,54,34,8,3,0,1,5,18
2,1,99,42,0,1,51,47,40,4,1,1,1,19,41
6,0,96,37,0,0,41,57,36,7,4,0,3,1,20
2,0,99,32,0,2,46,59,45,6,1,0,1,8,49
29,0,71,48,0,1,76,39,18,34,29,0,13,1,39
7,0,93,52,0,0,90,41,8,34,6,0,2,1,41
0,0,100,58,0,0,80,64,8,17,0,0,0,3,64
2,0,98,33,0,0,49,51,48,16,2,0,1,2,41
0,0,100,26,0,0,66,66,65,3,0,0,0,0,66
1,0,99,48,0,2,72,46,10,18,1,0,0,1,23
8,4,96,29,0,4,51,47,18,11,3,4,3,13,18
2,4,99,28,0,4,44,54,25,8,1,4,1,1,54
6,3,97,40,0,5,44,54,30,9,3,3,3,11,41
0,0,100,19,0,0,57,64,56,4,0,0,0,1,64
0,0,100,17,0,0,65,65,64,3,0,0,0,0,65
0,0,100,14,0,0,62,65,61,3,0,0,0,0,65
3,0,97,22,0,1,64,36,31,10,3,0,1,9,32
4,0,96,18,0,0,51,47,46,10,4,0,2,1,27
0,0,100,44,0,0,54,65,53,2,0,0,0,1,65
13,1,92,31,0,1,50,48,25,17,8,1,5,3,44
3,0,100,34,0,0,42,56,26,12,2,0,2,13,41
0,0,100,38,0,0,54,44,24,9,0,0,0,7,32
0,1,100,28,0,2,52,62,51,9,0,1,0,1,61
0,0,100,19,0,2,63,64,62,6,0,0,0,1,64
0,0,100,43,0,1,60,46,31,11,0,0,0,1,33
0,0,100,39,0,0,65,65,64,7,0,0,0,0,65
0,0,100,33,0,0,53,61,52,7,0,0,0,4,53
0,0,100,40,0,0,56,56,55,6,0,0,0,1,56
0,0,100,41,0,0,65,65,64,6,0,0,0,0,65
0,0,100,39,0,0,65,65,64,6,0,0,0,0,65
0,3,100,43,0,3,55,43,32,10,0,3,0,1,33
0,0,100,42,0,0,42,62,41,6,0,0,0,0,62
0,0,100,42,0,2,47,63,46,7,0,0,0,0,63
1,0,99,35,0,1,67,41,23,12,1,0,1,36,31
0,0,100,45,0,0,34,64,33,6,0,0,0,1,64
0,0,100,39,0,0,35,63,33,7,0,0,0,0,63
0,0,100,24,0,0,62,36,33,9,0,0,0,26,35
0,0,100,29,0,0,59,64,58,6,0,0,0,1,64
0,0,100,28,0,0,39,59,37,7,0,0,0,8,38
0,0,100,37,0,0,46,55,45,8,0,0,0,1,55
0,0,100,40,0,0,35,63,34,5,0,0,0,0,63
0,0,100,40,0,0,46,57,45,8,0,0,0,6,57
0,1,100,40,0,1,43,57,42,7,0,1,0,25,13
0,0,100,38,0,0,49,64,48,6,0,0,0,2,64
0,0,100,37,0,0,60,60,59,6,0,0,0,0,60
0,3,100,37,0,9,46,61,45,12,0,3,0,1,61
0,6,100,28,0,9,45,57,44,12,0,6,0,1,54
0,0,100,23,0,0,64,64,63,4,0,0,0,0,64
0,0,100,40,0,0,62,63,61,7,0,0,0,0,63
0,0,100,35,0,0,62,62,61,5,0,0,0,1,62
0,0,100,38,0,0,64,65,63,7,0,0,0,0,65
0,2,100,38,0,4,56,62,55,8,0,2,0,6,50
0,0,100,44,0,2,60,61,59,6,0,0,0,27,31
0,0,100,32,0,0,63,63,62,6,0,0,0,0,63
0,0,100,33,0,0,61,63,60,6,0,0,0,1,63
0,0,100,42,0,2,59,63,58,8,0,0,0,0,63
0,0,100,38,0,0,63,63,62,6,0,0,0,0,63
0,0,100,36,0,0,64,65,63,6,0,0,0,0,65
0,0,100,37,0,0,64,65,63,7,0,0,0,0,65
0,0,100,42,0,0,64,64,63,6,0,0,0,1,64
0,0,100,36,0,0,65,65,64,6,0,0,0,0,65
0,0,100,38,0,0,65,65,64,6,0,0,0,0,65
0,0,100,30,0,0,48,58,47,11,0,0,0,3,52
0,0,100,35,0,0,47,62,46,7,0,0,0,1,62
0,0,100,32,0,0,57,62,56,6,0,0,0,0,62
0,0,100,38,0,0,42,56,38,15,0,0,0,10,36
2,1,99,17,0,18,46,52,9,22,1,1,1,1,40
7,0,96,26,0,7,49,49,19,17,4,0,3,3,19
8,2,96,29,0,9,62,36,16,9,4,2,4,2,26
0,0,100,7,0,1,72,72,71,1,0,0,0,0,72
10,0,95,20,0,0,78,60,59,6,5,0,5,1,60
20,0,90,27,0,0,48,50,14,14,10,0,10,2,36
0,0,100,30,0,0,36,62,22,6,0,0,0,2,62
4,0,98,19,0,0,46,52,25,15,2,0,2,4,34
4,0,98,36,0,0,55,61,54,9,2,0,2,1,57
0,0,100,39,0,0,54,60,53,7,0,0,0,0,60
8,0,96,43,0,0,67,63,30,12,4,0,4,30,31
7,0,93,54,0,0,68,57,20,17,7,0,5,41,14
6,0,96,36,0,2,72,26,9,20,4,0,2,7,18
6,0,94,45,0,0,74,28,11,22,6,0,6,26,20
2,0,98,47,0,0,92,35,13,26,2,0,1,1,35
0,0,100,20,0,0,50,48,42,18,0,0,0,0,45
0,1,100,41,0,2,43,55,42,15,0,1,0,2,30
0,0,100,45,0,0,59,61,58,10,0,0,0,1,61
0,0,100,46,0,4,58,53,39,12,0,0,0,9,40
5,2,95,44,0,2,98,30,6,36,5,2,1,0,30
3,1,98,43,0,4,77,27,14,32,2,1,1,6,19
0,6,100,22,0,11,55,43,30,18,0,6,0,2,20
2,1,99,28,0,2,44,59,43,8,1,1,1,22,14
0,0,100,21,0,0,42,64,41,5,0,0,0,1,64
7,0,96,41,0,0,51,47,42,12,4,0,3,2,44
