numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
13,10,82,29,0,9,44,54,43,7,7,10,4,6,31
8,0,96,43,0,4,46,52,12,8,4,0,4,2,51
4,0,98,24,0,2,55,60,54,3,2,0,2,8,52
2,0,99,7,0,0,62,63,61,2,1,0,1,2,63
18,3,90,29,0,8,55,43,12,16,10,3,8,5,37
1,0,99,24,0,11,45,53,36,9,1,0,0,3,51
6,1,97,21,0,5,44,54,36,6,3,1,3,1,23
18,0,87,33,0,5,56,42,10,16,13,0,5,4,35
49,0,78,8,0,0,56,42,19,27,21,0,26,15,12
2,0,99,40,0,0,37,61,35,10,1,0,1,1,37
0,0,100,32,0,0,45,63,44,10,0,0,0,1,63
12,0,94,32,0,0,43,55,39,9,6,0,6,2,45
4,4,98,28,0,8,45,53,26,14,2,4,2,2,52
3,0,98,27,0,0,40,58,33,6,2,0,1,2,58
12,0,94,33,0,1,48,50,13,14,5,0,6,8,35
2,0,99,25,0,0,42,56,39,3,1,0,1,1,56
4,0,98,7,0,48,61,37,5,27,2,0,2,4,15
10,3,95,34,0,4,49,49,19,10,5,3,5,1,24
6,0,97,28,0,0,40,58,30,4,3,0,3,1,58
4,0,98,37,0,0,54,60,53,6,2,0,2,0,60
8,0,96,21,0,0,43,58,42,7,4,0,4,1,58
0,0,100,44,0,0,56,63,55,8,0,0,0,0,63
0,0,100,31,0,0,61,64,60,8,0,0,0,1,64
0,0,100,37,0,0,57,57,56,8,0,0,0,1,57
0,0,100,49,0,0,51,61,50,9,0,0,0,3,61
0,0,100,38,0,0,62,63,61,7,0,0,0,9,54
0,0,100,55,0,0,53,53,52,6,0,0,0,19,24
0,0,100,46,0,0,58,59,57,6,0,0,0,1,59
10,0,96,39,0,0,53,54,52,18,6,0,6,1,54
2,0,98,47,0,0,54,44,38,13,2,0,1,14,44
8,0,96,37,0,1,59,39,17,21,4,0,4,1,39
2,0,99,25,0,13,45,53,26,22,1,0,1,1,52
2,4,99,15,0,31,53,45,10,25,1,4,1,5,41
4,1,98,22,0,10,46,52,11,27,2,1,2,1,41
2,0,99,26,0,14,48,50,26,23,1,0,1,1,23
4,7,98,23,0,15,51,47,26,17,2,7,2,1,44
0,0,100,17,0,1,64,64,63,2,0,0,0,1,64
0,0,100,7,0,0,66,66,65,1,0,0,0,0,66
0,0,100,2,0,0,66,66,65,1,0,0,0,0,66
