numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort,isAttack
100,0,47,0,0,0,46,52,45,1,46,0,52,0,52,TRUE
100,0,58,0,0,0,57,41,56,1,57,0,41,1,41,TRUE
0,9,91,23,0,15,48,53,44,35,0,9,0,0,38,TRUE
18,40,55,7,0,16,79,78,78,18,13,39,13,0,78,TRUE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,0,51,TRUE
62,2,80,7,0,4,54,44,53,26,43,2,39,3,44,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
0,0,100,5,0,0,42,67,41,1,0,0,0,1,14,FALSE
14,77,23,0,0,2,92,90,91,5,14,76,14,0,90,TRUE
2,0,98,11,0,0,56,42,55,1,2,0,0,7,19,FALSE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
0,0,100,44,0,0,58,58,57,7,0,0,0,0,58,FALSE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
12,47,47,28,0,1,57,50,56,31,6,46,6,1,50,TRUE
0,0,100,12,0,0,50,48,49,1,0,0,0,1,18,FALSE
0,21,79,26,0,13,67,46,66,11,0,21,0,1,46,TRUE
0,0,100,1,0,0,38,64,37,1,0,0,0,1,64,FALSE
30,8,77,13,0,4,60,68,29,39,14,8,14,2,68,TRUE
0,0,100,8,0,0,59,65,58,2,0,0,0,1,65,FALSE
25,38,58,16,0,1,61,54,60,12,20,38,20,2,54,TRUE
45,34,63,1,0,9,95,95,94,3,42,33,42,0,95,TRUE
4,63,37,13,0,11,86,86,85,12,4,62,4,0,86,TRUE
44,13,73,13,0,0,48,50,47,17,29,13,22,2,25,TRUE
3,1,97,4,0,0,41,57,40,1,3,0,0,1,21,FALSE
11,0,97,10,0,11,43,57,40,25,8,0,8,2,38,TRUE
47,0,93,5,0,15,79,79,78,11,40,0,40,0,79,TRUE
0,0,100,2,0,0,33,65,32,2,0,0,0,1,65,FALSE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
0,0,100,4,0,0,48,77,47,1,0,0,0,2,77,FALSE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
1,0,99,7,0,0,47,51,46,1,1,0,0,10,51,FALSE
0,0,100,22,0,0,53,54,52,2,0,0,0,4,54,FALSE
1,0,99,3,0,0,47,51,46,1,1,0,0,12,51,FALSE
11,1,93,18,0,21,71,53,70,10,6,1,6,2,53,TRUE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
0,0,100,11,0,1,52,46,50,2,0,0,0,20,26,FALSE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
16,20,72,32,0,7,51,51,46,22,8,20,8,1,47,TRUE
8,0,92,33,0,0,88,27,59,12,8,0,6,2,27,FALSE
0,0,100,37,0,0,71,71,70,3,0,0,0,0,71,FALSE
3,0,97,5,0,0,62,36,61,1,3,0,0,12,26,FALSE
49,0,76,0,0,0,74,74,23,14,24,0,24,11,24,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
3,0,97,9,0,0,44,65,43,2,3,0,0,8,8,FALSE
64,0,68,5,0,2,52,60,37,24,31,0,31,2,60,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
51,17,67,8,0,1,54,45,53,13,34,17,28,7,37,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
0,0,100,28,0,25,71,71,70,15,0,0,0,1,71,TRUE
6,0,97,28,0,34,64,53,63,26,3,0,3,0,53,TRUE
0,0,100,12,0,0,48,50,47,1,0,0,0,0,10,FALSE
1,0,99,12,0,1,55,43,54,1,1,0,0,10,12,FALSE
0,0,100,50,0,0,62,62,61,8,0,0,0,0,62,FALSE
48,2,82,2,0,1,50,63,34,20,32,1,31,10,31,TRUE
9,43,57,0,0,0,53,53,52,45,9,43,9,1,53,TRUE
6,18,79,36,0,14,56,49,55,29,3,17,3,2,42,TRUE
100,0,53,0,0,0,52,46,51,1,52,0,46,1,46,TRUE
4,0,96,19,0,1,69,29,48,12,4,0,4,11,19,FALSE
0,49,51,33,0,3,52,50,51,21,0,48,0,4,23,TRUE
0,0,100,1,0,0,41,65,40,1,0,0,0,1,65,FALSE
50,11,74,8,0,1,50,48,49,34,35,10,35,0,42,TRUE
2,0,98,9,0,0,61,37,60,1,2,0,0,0,19,FALSE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,0,50,TRUE
