srcIP,destIP,srcMAC,destMAC,srcPort,destPort
/172.16.80.88,/224.0.0.251,b0:e2:35:28:60:86,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,61566 (unknown),7533 (unknown),62
/172.16.82.94,/224.0.0.252,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fc,56289 (unknown),5355 (unknown),54
/172.16.82.94,/224.0.0.252,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fc,54711 (unknown),5355 (unknown),54
/172.16.82.94,/224.0.0.252,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fc,53709 (unknown),5355 (unknown),53
/172.16.81.105,/172.16.83.255,00:21:5c:77:42:93,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.225,/239.255.255.250,10:f0:05:6f:2d:54,01:00:5e:7f:ff:fa,58559 (unknown),1900 (unknown),202
/172.16.82.94,/239.255.255.250,2c:6e:85:9e:bc:ea,01:00:5e:7f:ff:fa,59702 (unknown),1900 (unknown),202
/172.16.82.209,/239.255.255.250,f0:03:8c:b6:ee:b5,01:00:5e:7f:ff:fa,60744 (unknown),1900 (unknown),202
/172.16.82.73,/224.0.0.253,0c:8b:fd:f3:fa:84,01:00:5e:00:00:fd,52630 (unknown),3544 (unknown),68
/172.16.82.216,/172.16.83.255,60:6c:66:26:bc:5e,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.82.205,/172.16.83.255,c0:25:e9:26:f2:dd,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.82.205,/172.16.83.255,c0:25:e9:26:f2:dd,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.84,/172.16.83.255,4c:34:88:b4:1f:d6,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/169.254.187.80,/239.255.255.250,84:ef:18:19:ba:cc,01:00:5e:7f:ff:fa,50131 (unknown),1900 (unknown),129
/172.16.80.119,/239.255.255.250,e4:f8:9c:6f:a2:93,01:00:5e:7f:ff:fa,63261 (unknown),1900 (unknown),304
/172.16.83.130,/172.16.83.255,44:03:2c:18:d4:59,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),233
/172.16.83.154,/224.0.0.251,c4:17:fe:7c:f3:1f,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),1081
/172.16.82.59,/255.255.255.255,b8:81:98:4f:f8:4e,ff:ff:ff:ff:ff:ff,54281 (unknown),7533 (unknown),62
/172.16.80.152,/172.16.83.255,8c:85:90:4b:69:c5,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
/172.16.83.154,/224.0.0.251,c4:17:fe:7c:f3:1f,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),80
/172.16.81.105,/255.255.255.255,00:21:5c:77:42:93,ff:ff:ff:ff:ff:ff,68 (Bootstrap Protocol Client),67 (Bootstrap Protocol Server),328
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.81.105,/172.16.83.255,00:21:5c:77:42:93,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.80.152,/172.16.83.255,8c:85:90:4b:69:c5,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
/172.16.81.143,/172.16.83.255,30:35:ad:aa:3d:84,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),226
/172.16.82.118,/172.16.83.255,8c:85:90:23:8b:2e,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),226
/172.16.80.72,/172.16.83.255,48:d7:05:c2:ea:cd,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),226
/172.16.80.88,/224.0.0.251,b0:e2:35:28:60:86,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.83.111,/239.255.255.250,e4:f8:9c:8d:d8:9e,01:00:5e:7f:ff:fa,50511 (unknown),1900 (unknown),304
/172.16.82.94,/239.255.255.250,2c:6e:85:9e:bc:ea,01:00:5e:7f:ff:fa,51294 (unknown),1900 (unknown),303
/172.16.83.176,/224.0.0.251,94:53:30:71:24:5f,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
