srcIP,destIP,srcMAC,destMAC,srcPort,destPort,packetLen
/172.16.80.197,/224.0.0.251,a4:70:d6:88:62:21,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.82.231,/239.255.255.250,c8:3a:35:c3:7b:91,01:00:5e:7f:ff:fa,57123 (unknown),1900 (unknown),202
/172.16.83.27,/172.16.83.255,cc:b0:da:6c:e4:c5,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.27,/172.16.83.255,cc:b0:da:6c:e4:c5,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.27,/172.16.83.255,cc:b0:da:6c:e4:c5,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.82.64,/239.255.255.250,18:cf:5e:16:1c:9f,01:00:5e:7f:ff:fa,62624 (unknown),1900 (unknown),161
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),108
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.81,/224.0.0.251,d0:c5:f3:f1:b8:e6,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),118
/172.16.81.81,/224.0.0.251,d0:c5:f3:f1:b8:e6,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),254
/172.16.81.81,/224.0.0.251,d0:c5:f3:f1:b8:e6,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),237
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,56846 (unknown),7533 (unknown),62
/172.16.81.81,/224.0.0.251,d0:c5:f3:f1:b8:e6,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),237
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.82.231,/172.16.83.255,c8:3a:35:c3:7b:91,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.82.67,/239.255.255.250,ac:2b:6e:6a:db:87,01:00:5e:7f:ff:fa,60471 (unknown),1900 (unknown),303
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
